Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-10-04,3401.247802734375,3410.5771473592677,3341.8906095441002,3357.529965218684,1356860
2021-10-05,3455.331787109375,3461.3711145717107,3372.67356778803,3383.8508239849484,1877966
2021-10-06,3435.140625,3477.1007834725124,3420.8084719983012,3457.765823079179,1678154
2021-10-07,3509.054931640625,3514.5535517698677,3443.3881680039863,3452.3570411076157,1647233
2021-10-08,3547.58984375,3596.490725128912,3515.455066871078,3537.990035248457,2934339
2021-10-11,3322.19482421875,3387.005296624625,3299.118931642349,3384.7518000866175,11845402
2021-10-12,3292.674560546875,3341.485215552336,3272.6184380634545,3340.583816789036,5752877
2021-10-13,3294.79248046875,3313.045804122932,3285.598257752844,3290.105251247704,3545655
2021-10-14,3261.602294921875,3314.4804951482506,3258.667128270858,3273.839726134171,6442299
2021-10-18,3293.843994140625,3298.8563998517143,3252.5710786502946,3254.377335087423,3590107
2021-10-19,3282.103515625,3332.6337187453037,3274.0205617031106,3313.5776240440514,3135441
2021-10-20,3259.2548828125,3278.3559595043926,3231.664267209516,3262.0996489613954,2933693
2021-10-21,3190.300537109375,3257.989955221181,3171.1090618330622,3254.9646078835626,4871211
2021-10-22,3159.91064453125,3216.5819472192843,3147.40222896892,3215.1368536956547,2691670
2021-10-25,3154.58203125,3174.089691219989,3115.7927138810505,3163.6585149928464,2595594
2021-10-26,3145.235107421875,3187.1401776970188,3138.371243269238,3155.982247368159,3878763
2021-10-27,3151.69189453125,3171.109152424343,3145.5957786810927,3145.5957786810927,2510813
2021-10-28,3090.188720703125,3177.2052166959043,3084.1830059739946,3177.2052166959043,2424942
2021-10-29,3068.60400390625,3125.7268655785538,3057.947046484346,3070.6812429742113,3960501
2021-11-01,3139.635498046875,3149.208747333267,3082.3320448640998,3104.910254982635,2020718
2021-11-02,3146.6796875,3173.231792731731,3133.629527212094,3155.53038924391,3087414
2021-11-03,3153.94921875,3178.920623401896,3130.2873057913566,3164.74155582857,1537639
2021-11-04,3168.7607421875,3172.9152201972943,3165.464412379283,3172.6442376331274,328991
2021-11-08,3163.43310546875,3204.299666891193,3143.970643720878,3204.299666891193,2526082
2021-11-09,3166.0966796875,3192.5583816589988,3157.336379711417,3168.1739187722114,1782692
2021-11-10,3146.76953125,3178.7401803168054,3143.066617551687,3159.1423430983277,1516489
2021-11-11,3150.2919921875,3170.0254331136357,3103.1487405186585,3142.8863844601083,1284514
2021-11-12,3184.4755859375,3191.7907928724526,3148.0342708406747,3166.367819426574,1747259
2021-11-15,3209.086181640625,3223.8072186303534,3186.2369890665427,3186.2369890665427,1809157
2021-11-16,3211.88525390625,3229.180292369943,3198.880295165502,3223.2647581721276,2013204
2021-11-17,3180.727294921875,3217.7105731451347,3166.7288070493264,3206.6472520845723,1632914
2021-11-18,3139.003173828125,3179.7795512785065,3117.2379128052817,3174.6315432718475,2136598
2021-11-22,3123.37890625,3175.353985373038,3107.0324158864637,3141.441472722624,3167936
2021-11-23,3128.662353515625,3143.7445527036148,3077.680802793466,3111.2771329613415,2153461
2021-11-24,3109.741455078125,3154.672084182838,3092.311036272108,3135.841772532787,2161746
2021-11-25,3112.08935546875,3127.5329357820656,3101.3874186641556,3110.283099080773,1849619
2021-11-26,3112.947998046875,3151.917897610604,3081.3834862616445,3093.214555678029,1941251
2021-11-29,3162.75537109375,3187.45601879856,3076.4614161710138,3113.218694632493,2981745
2021-11-30,3187.275390625,3218.5237203430856,3152.821131593886,3152.821131593886,5588446
2021-12-01,3231.212646484375,3242.2307682282008,3192.5587091049274,3192.5587091049274,2102118
2021-12-02,3290.006103515625,3294.6121461924477,3227.871050834949,3241.5081563169406,3152938
2021-12-03,3287.793212890625,3310.8229834006474,3279.123313933971,3293.211982422395,2486263
2021-12-06,3193.822509765625,3303.6429881642466,3180.8175517535474,3287.793043999956,1849642
2021-12-07,3237.262939453125,3249.4551698011837,3182.8946674805766,3217.3941196266583,1484458
2021-12-08,3275.555908203125,3293.212110378223,3252.164973678262,3252.164973678262,1428660
2021-12-09,3252.842529296875,3282.645764798172,3220.5556908371364,3260.293338172199,1567957
2021-12-10,3284.496826171875,3289.1930489201604,3228.773857881583,3237.714739258313,1510718
2021-12-13,3259.97705078125,3307.2559065103674,3252.797224738199,3296.4183666747244,1883864
2021-12-14,3272.756591796875,3282.871585320707,3230.2191578872375,3255.777734547771,1747007
2021-12-15,3224.484130859375,3272.033746430734,3213.465789491573,3269.324361600678,1603233
2021-12-16,3234.644287109375,3258.893148767848,3224.167911023096,3235.0054502198122,2072320
2021-12-17,3237.128173828125,3297.6377729848323,3227.509724653054,3253.519865105046,4333992
2021-12-20,3212.337646484375,3256.6813436582256,3170.1163894638476,3241.328159287125,2312310
2021-12-21,3258.758056640625,3288.470891043131,3220.9168466296323,3235.5926822596566,2340989
2021-12-22,3279.033203125,3284.497173651186,3256.9065589119414,3272.9370868622186,1224328
2021-12-23,3307.88818359375,3314.9326288647185,3278.3559304669466,3294.612240865956,1792861
2021-12-24,3315.29345703125,3346.0902190382208,3291.721941628561,3328.027653753264,2209923
2021-12-27,3338.052978515625,3341.5750910911825,3299.2184571867274,3315.3843674042514,1534135
2021-12-28,3347.490234375,3364.1529073617235,3336.020549097627,3350.6059829025485,1456218
2021-12-29,3336.788330078125,3359.5923213217848,3328.0280290251603,3334.5757096792804,1456923
2021-12-30,3372.0556640625,3377.7002165634417,3323.5125125544027,3324.731824090739,1966475
2021-12-31,3376.209716796875,3395.762355996317,3369.8426182813214,3380.2285935722675,1207141
2022-01-03,3447.918701171875,3458.9820248806973,3382.2161052684623,3386.7317475985938,2346158
2022-01-04,3508.427734375,3512.4014107792354,3442.4541666277723,3459.974988296276,2488606
2022-01-05,3486.93310546875,3495.106460540426,3443.086183164168,3490.590819118539,1733031
2022-01-06,3438.61572265625,3463.4969508470977,3406.599869255607,3442.725000424807,1810293
2022-01-07,3480.20458984375,3490.500163338103,3428.6358803734483,3449.949794525269,2460591
2022-01-10,3504.00244140625,3592.6443963219926,3486.9783846654636,3592.6443963219926,3937092
2022-01-11,3536.56005859375,3544.778614405438,3482.462761056655,3482.462761056655,1906106
2022-01-12,3485.984375,3548.3906204558466,3464.8964642838223,3544.778107734588,3203744
2022-01-13,3520.30322265625,3542.9718280288903,3483.3653685208847,3538.456187157072,6684507
2022-01-14,3583.74853515625,3591.7413089405372,3486.1204965938937,3502.1962246997864,3348123
2022-01-17,3629.8076171875,3651.3473129557115,3578.464911306668,3605.9199203932294,3442604
2022-01-18,3604.02392578125,3650.1736501754312,3594.4506774893,3643.1744057657475,2389041
2022-01-19,3541.643310546875,3629.7174246429836,3537.8888307742736,3629.7174246429836,3102539
2022-01-20,3461.9384765625,3546.484079642715,3447.8701090608133,3537.4369263783205,6176776
2022-01-21,3468.225830078125,3484.5559841357417,3411.7716881443966,3444.2508765116527,3112358
2022-01-24,3411.997802734375,3482.8368271236272,3383.7254523626307,3474.1064136799278,3258414
2022-01-25,3410.68603515625,3446.4222886055563,3367.531160609474,3410.324237396472,3330501
2022-01-27,3301.531494140625,3377.6631795052203,3279.6827133861384,3375.491951671898,5718297
2022-01-28,3338.44482421875,3374.4072583339293,3298.592070036313,3298.592070036313,3143862
2022-01-31,3380.242431640625,3399.919988787011,3366.807321513716,3391.777551347127,2739393
2022-02-01,3438.50537109375,3445.1551154581266,3380.377425671433,3410.7759415118535,2105169
2022-02-02,3488.7626953125,3495.8195180182074,3438.5057219894607,3463.1592110852152,1984212
2022-02-03,3460.174072265625,3512.5569974763753,3452.438712615916,3484.0584667821045,1960538
2022-02-04,3451.39794921875,3460.2642024084744,3409.8716096360963,3451.759967827603,2307366
2022-02-07,3418.9189453125,3466.687954905488,3398.246113404801,3429.7755283619176,1919149
2022-02-08,3386.75634765625,3437.646581809381,3366.44553393424,3430.2732406787395,2946443
2022-02-09,3402.22705078125,3417.9690081189287,3389.1539593129573,3392.6822605127904,1638721
2022-02-10,3411.093505859375,3428.690174713259,3399.920183271069,3428.690174713259,2112459
2022-02-11,3342.877197265625,3394.9435982917194,3338.3989014514173,3394.9435982917194,3851488
2022-02-14,3377.980712890625,3431.811272627349,3356.4937247604203,3369.15973881612,5951745
2022-02-15,3454.021728515625,3469.582785752056,3390.8725634937955,3425.2517410318865,3931683
2022-02-16,3449.769775390625,3486.86310028864,3443.346208825481,3477.725387999251,3256906
2022-02-17,3423.62353515625,3469.5831157807347,3418.919059852776,3460.5359629364566,3134372
2022-02-18,3432.39892578125,3452.3479402147423,3399.5579405621957,3409.8716055417394,3688883
2022-02-21,3364.99755859375,3463.0688168204524,3352.4673858533592,3446.964842410025,7465922
2022-02-22,3244.671142578125,3318.405445868537,3229.833898733374,3302.211128957091,5408531
2022-02-23,3224.224609375,3277.6931540477553,3216.8510467438487,3266.9271297309606,2426203
2022-02-24,3077.524658203125,3151.892431267905,3067.9800886568473,3142.980897367273,5039136
2022-02-25,3185.2763671875,3193.6449836460624,3132.124343734467,3137.5526354913723,2549723
2022-02-28,3215.5390625,3224.1791377567374,3126.6055046825018,3157.456384642866,3288942
